OBJECTID *,Shape *,FID_CRASH_PHILADELPHIA_2019_XYTableToPoint,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,CRN,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,SCH_BUS_IND,SCH_ZONE_IND,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,ROADWAY_CLEARED,WEATHER1,WEATHER2,WZ_WORKERS_INJ_KILLED,SECONDARY_CRASH,INTERSECTION_RELATED,FID_POLYLINE_30ftbuffer,BUFF_DIST,ORIG_FID
29,Point,6503,1023,0,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019084446,7,39.9866,-75.2085,1015,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,10,1,1,0,0,39 59:11.880,<Null>,0,75 12:30.720,8,0,0,1,67301,0,0,0,N,0,0,0,5,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,0,0,<Null>,1013,1,2,0,0,0,1,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
30,Point,6811,2158,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019088425,7,39.9732,-75.2122,2150,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,21,3,1,1,0,39 58:23.653,<Null>,0,75 12:44.012,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,2147,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
31,Point,6842,850,1,0,0,0,0,0,1,0,0,1,1,<Null>,67,7,2019,2019088519,5,39.9732,-75.2122,830,6,0,0,0,0,0,0,0,0,9,0,0,0,8,1,5,1,1,39 58:23.653,4,0,75 12:44.012,4,0,0,0,67301,0,0,0,N,0,0,0,6,67301,5,<Null>,1,1,N,<Null>,0,<Null>,0,0,0,3,2,N,825,5,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
32,Point,7245,1735,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019093063,1,39.9556,-75.2146,1730,6,0,0,0,0,0,2,0,0,<Null>,0,0,0,17,1,1,1,0,39 57:20.232,<Null>,0,75 12:52.728,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,1,3,2,<Null>,1716,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
33,Point,7279,55,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019093496,7,39.9859,-75.2136,50,6,0,0,0,0,0,1,0,0,4,1,0,0,0,3,0,0,2,39 59:09.120,7,0,75 12:49.000,1,1,0,1,67301,0,0,0,N,0,0,0,2,67301,0,2,1,1,N,N,0,0,0,0,0,0,0,Y,48,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
34,Point,7446,1916,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019095193,7,39.9867,-75.2083,1908,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,17,4,1,2,0,39 59:11.940,<Null>,2,75 12:30.186,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,1,0,0,<Null>,1750,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
35,Point,7461,1244,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019095482,3,39.9697,-75.2115,1244,6,0,0,0,0,0,0,0,0,9,0,0,0,0,3,2,1,0,39 58:10.789,<Null>,0,75 12:41.484,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,2,0,1,3,2,<Null>,34,2,2,0,0,0,0,1,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
36,Point,7678,1900,1,0,0,0,0,0,0,0,0,5,0,<Null>,67,9,2019,2019098050,1,40.013,-75.202,1900,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,18,3,2,0,0,40 00:46.826,<Null>,0,75 12:07.125,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,<Null>,1,1,N,N,0,<Null>,2,0,2,3,2,<Null>,1852,2,3,0,0,4,0,0,3,0,3,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
37,Point,7761,1115,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019099009,6,39.9866,-75.2087,1115,6,0,0,0,0,0,1,0,0,1,0,0,0,11,1,0,1,1,39 59:11.745,1,0,75 12:31.480,0,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,3,N,1115,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
38,Point,7812,312,1,0,0,0,0,0,0,0,0,9,0,<Null>,67,9,2019,2019099615,1,39.9869,-75.206,310,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,3,3,0,0,0,39 59:12.810,<Null>,0,75 12:21.670,9,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,<Null>,1,9,N,N,0,<Null>,0,0,0,0,0,<Null>,307,0,1,0,0,0,0,1,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,98,<Null>,<Null>,<Null>,<Null>,1,30,0
