OBJECTID *,Shape *,FID_POLYLINE_2_30ftbuffer,BUFF_DIST,ORIG_FID,FID_CRASH_PHILADELPHIA_2019_XYTableToPoint,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,CRN,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,SCH_BUS_IND,SCH_ZONE_IND,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,ROADWAY_CLEARED,WEATHER1,WEATHER2,WZ_WORKERS_INJ_KILLED,SECONDARY_CRASH,INTERSECTION_RELATED
19,Point,1,30,0,5555,1956,0,0,0,0,0,0,0,0,0,7,0,<Null>,67,6,2020,2020063251,5,39.9475,-75.1877,1946,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,19,1,0,0,2,39 56:51.063,3,0,75 11:15.828,0,0,0,0,67301,0,0,0,Y,0,0,0,1,68K01,0,<Null>,7,1,N,N,0,<Null>,0,0,1,0,0,N,1942,0,1,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2005,3,3,<Null>,<Null>,<Null>
21,Point,1,30,0,5748,917,1,0,0,1,0,0,0,0,0,5,0,<Null>,67,8,2020,2020065002,3,39.9507,-75.1944,917,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,7,1,1,0,0,39 57:02.600,<Null>,0,75 11:39.900,3,0,0,0,67301,1,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,1,0,0,0,0,<Null>,700,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,99,98,<Null>,N,N
22,Point,1,30,0,5931,2135,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2020,2020067007,4,39.9512,-75.1991,2131,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,21,3,1,1,0,39 57:04.496,<Null>,0,75 11:56.898,4,0,0,0,67301,0,0,0,N,0,0,0,3,67504,1,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,2131,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,<Null>
25,Point,1,30,0,7487,1835,1,0,0,1,0,0,0,0,0,4,0,<Null>,67,10,2020,2020084052,6,39.951,-75.1971,1832,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,18,4,1,0,0,39 57:03.700,<Null>,0,75 11:49.500,3,0,0,0,67301,1,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,1830,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,N
26,Point,1,30,0,7537,2000,0,0,0,0,0,0,0,0,0,4,0,<Null>,67,10,2020,2020084330,4,39.9513,-75.1991,2000,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,19,3,0,1,0,39 57:04.496,<Null>,0,75 11:56.898,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,2,3,2,<Null>,1945,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,<Null>
27,Point,1,30,0,7638,1900,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,10,2020,2020085738,4,39.9513,-75.1991,1859,6,0,0,0,1,0,0,0,0,<Null>,0,0,0,18,3,2,1,0,39 57:04.496,<Null>,0,75 11:56.898,3,0,0,0,67301,0,0,0,N,0,0,0,3,67504,0,<Null>,1,1,N,N,0,<Null>,2,0,0,3,2,<Null>,1855,2,2,0,0,0,0,0,3,1,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,N
28,Point,1,30,0,7963,1754,1,0,0,0,0,0,0,0,0,1,0,<Null>,67,10,2020,2020090745,2,39.9475,-75.1877,1746,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,17,3,1,1,0,39 56:50.944,<Null>,2,75 11:15.670,4,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,1,<Null>,1,9,N,N,0,<Null>,0,0,1,3,2,<Null>,1742,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,N,<Null>
29,Point,1,30,0,8442,1930,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,11,2020,2020101808,5,39.9512,-75.1991,1928,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,19,3,0,2,0,39 57:04.496,<Null>,0,75 11:56.898,0,0,0,0,67301,0,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,1928,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,N
31,Point,1,30,0,8535,2047,1,0,0,0,0,0,0,0,0,8,0,<Null>,67,12,2020,2020103910,4,39.9512,-75.1991,2046,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,20,3,1,1,0,39 57:04.496,<Null>,0,75 11:56.898,3,0,0,0,67301,1,0,0,N,1,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,2045,1,2,0,0,1,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,N
35,Point,1,30,0,9199,2057,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,10,2020,2020089573,7,39.9529,-75.2122,2056,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,20,3,1,1,0,39 57:10.335,<Null>,0,75 12:43.862,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,2053,1,2,0,0,1,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,N,<Null>
